"ID",Registrar Name,Status,RDAP Base URL
1,Reserved,Reserved,
2,"Network Solutions, LLC",Accredited,https://rdap.networksolutions.com/rdap/
3,Registry Installation,Reserved,
4,"Advanced Systems Consulting, Inc.",Terminated,
6,asf,Terminated,
8,Test Registrar,Reserved,
9,"Register.com, Inc.",Accredited,https://rdap.register.com/rdap/
10,AT&T Corporation,Terminated,
11,"Edge, Inc.",Terminated,
12,"Bazillion, Inc.",Terminated,
13,Webcentral Group Limited dba Melbourne IT,Accredited,https://webcentralgroup.rdap.tucows.com/
14,ORANGE,Accredited,https://whois-data-reminder-policy.orange-business.com/rdap/
15,"COREhub, S.R.L.",Accredited,https://rdap.corenic.net/
16,AOL LLC,Terminated,
18,CADVision Development Corporation dba GetDomain.com,Terminated,
19,"CommuniTech.Net, Inc.",Terminated,
22,"eXtraActive, Inc.",Terminated,
25,"FloridaNet, Inc. d/b/a ValueWeb",Terminated,
26,HKNet Company Limited,Terminated,
27,"Identity Defense, Inc.",Terminated,
28,InfoBack Corporation,Terminated,
30,NameSecure L.L.C.,Accredited,https://rdap.namesecure.com/rdap/
31,"DSTR Acquisition PA I, LLC dba DomainBank.com",Terminated,
44,Prodigy Communications Corporation,Terminated,
45,RCN Corporation,Terminated,
47,REACTO.com Limited,Terminated,
48,"eNom, LLC",Accredited,https://enom.rdap.tucows.com/
49,"GMO Internet Group, Inc. d/b/a Onamae.com",Accredited,https://rdap.gmo-onamae.com/rdap/v1/
50,Telepartner A/S,Terminated,
51,"Verio, Inc.",Terminated,
52,Hostopia Canada Corp,Accredited,
53,"A Technology Company, Inc.",Terminated,
54,"Signature Domains, LLC",Terminated,
56,"Inquent Technologies, Inc. f/k/a WebHosting.com, Inc.",Terminated,
57,"Advanced Internet Technologies, Inc. (AIT)",Accredited,https://rdap.ait.com/rdap/
58,"AW Registry, Inc.",Terminated,
59,"Tech Dogs, Inc.",Terminated,
60,Internet Domain Registrars d/b/a Registrars.com,Terminated,
61,"Hosting.com, Inc.",Terminated,
62,WebTrends Corporation,Terminated,
63,"eNom401, Incorporated",Terminated,
64,"Domain Registration Services, Inc. dba dotEarth.com",Accredited,https://secure.iviewer.com/rdap-server/
65,"DomainPeople, Inc.",Accredited,https://domainpeople.rdap.tucows.com/
66,"Enameco, LLC",Accredited,https://EIG.rdap.tucows.com/
67,CASDNS Inc.,Terminated,
68,NordNet SA,Accredited,https://rdap.nordnet.fr/rdap/
69,Tucows Domains Inc.,Accredited,https://opensrs.rdap.tucows.com/
70,Group NBT plc aka NetNames,Terminated,
71,Jiva Online Pty Ltd.,Terminated,
72,"Dotster, Inc.",Terminated,
73,Ports Group AB,Accredited,https://rdap.ports.domains/
74,Online SAS,Accredited,https://rdap.bookmyname.com/
75,"Tech Electro Industries, Inc.",Terminated,
76,Nominalia Internet S.L.,Accredited,https://rdap-nominalia.info/
78,"PSI-Japan, Inc.",Accredited,https://rdap.psi.jp/
79,Easyspace Limited,Accredited,https://easyspace.rdap.tucows.com/
80,Virtualis Systems Inc.,Terminated,
81,Gandi SAS,Accredited,https://rdap.gandi.net/
82,"OnlineNIC, Inc.",Accredited,https://onlinenic.com/rdap/
83,IONOS SE,Accredited,https://rdap.ionos.com/
84,UK-2 Limited,Accredited,https://rdapserver.net/
85,EPAG Domainservices GmbH,Accredited,https://epag.rdap.tucows.com/
86,DomainSpot LLC,Accredited,https://rdapanchor.com/
87,"HANGANG Systems, Inc. dba Doregi.com",Accredited,https://rdap.doregi.com/
88,Namebay SAM,Accredited,https://rdap.namebay.com/
89,Computer Data Networks dba Shop4domain.com and Netonedomains.com,Terminated,
91,"007Names, Inc.",Accredited,https://rdap.007names.net/
93,"GKG.NET, INC.",Accredited,
94,"Parava Networks, Inc. dba 10-Domains.com",Terminated,
97,"DomainZoo.com, Inc.",Terminated,
98,EnetRegistry.com Corporation,Terminated,
99,"pair Networks, Inc. d/b/a pair Domains",Accredited,https://www.pairdomains.com/rdap/
100,Whois Corp.,Accredited,https://www.yesnic.com/rdap/
101,"#1 Domain Names International, Inc. dba 1dni.com",Terminated,
103,PacNames Ltd,Terminated,
105,"MyDomain, Inc.",Terminated,
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",Accredited,https://rdap.ascio.com/
109,"MS Intergate, Inc.",Terminated,
110,"Shaver Communications, Inc.",Terminated,
111,Secura GmbH,Accredited,https://rdap.domainregistry.de/
112,"Webhero, Inc.",Accredited,https://rdapserver.net/
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,Accredited,https://rdap.joker.com/
119,Reserved for Internal Registry Use,Reserved,
120,Xin Net Technology Corporation,Accredited,https://rdap.xinnet.com/rdap/
121,"Dotregistrar, LLC",Terminated,
122,"Free Yellow.Com, Inc.",Terminated,
123,"The Registry at Info Avenue, LLC d/b/a Spirit Communications",Accredited,https://rdapserver.net/
